voltage,current,power
0.0,3.87,0.0
0.1,3.868781706006489,0.38687817060064894
0.2,3.868728353315394,0.7737456706630789
0.30000000000000004,3.8686746493172386,1.1606023947951718
0.4,3.868620944686946,1.5474483778747785
0.5,3.8685672392886743,1.9342836196443371
0.6000000000000001,3.8685135330909186,2.3211081198545513
0.7000000000000001,3.868459826060847,2.707921878242593
0.8,3.868406118164279,3.0947248945314234
0.9,3.868352409365632,3.4815171684290687
1.0,3.8682986996278594,3.8682986996278594
1.1,3.8682449889123958,4.2550694878036355
1.2000000000000002,3.8681912771790907,4.64182953261491
1.3,3.8681375643861453,5.028578833701989
1.4000000000000001,3.868083850490043,5.415317390686061
1.5,3.868030135445483,5.802045203168224
1.6,3.8679764192053008,6.188762270728482
1.7000000000000002,3.867922701720397,6.5754685929246754
1.8,3.8678689829396564,6.962164169291381
1.9000000000000001,3.8678152628098625,7.348848999338739
2.0,3.8677615412756152,7.7355230825512304
2.1,3.867707818279239,8.122186418386402
2.2,3.867654093760689,8.508839006273517
2.3000000000000003,3.8676003676574555,8.895480845612148
2.4000000000000004,3.8675466399044613,9.28211193577071
2.5,3.8674929104339566,9.668732276084892
2.6,3.8674391791754106,10.055341865856068
2.7,3.8673854460553936,10.441940704349564
2.8000000000000003,3.867331710997463,10.828528790792898
2.9000000000000004,3.8672779739220355,11.215106124373904
3.0,3.86722423474626,11.60167270423878
3.1,3.8671704933838824,11.988228529490035
3.2,3.8671167497451076,12.374773599184344
3.3000000000000003,3.867063003736452,12.761307912330292
3.4000000000000004,3.867009255260594,13.147831467886022
3.5,3.866955504216214,13.534344264756749
3.6,3.866901750497833,13.9208463017922
3.7,3.8668479939956395,14.307337577783867
3.8000000000000003,3.8667942345953126,14.69381809146219
3.9000000000000004,3.866740472177836,15.080287841493561
4.0,3.866686706619308,15.466746826477232
4.1000000000000005,3.8666329377907362,15.853195044942021
4.2,3.8665791655578325,16.239632495342896
4.3,3.8665253897807936,16.626059176057414
4.4,3.866471610314075,17.012475085381933
4.5,3.8664178270061558,17.3988802215277
4.6000000000000005,3.866364039699292,17.785274582616747
4.7,3.866310248229261,18.171658166677528
4.800000000000001,3.8662564524250986,18.558030971640477
4.9,3.866202652108817,18.944392995333207
5.0,3.866148847095122,19.33074423547561
5.1000000000000005,3.8660950371911063,19.717084689674643
5.2,3.8660412221959444,20.103414355418913
5.300000000000001,3.8659874019005613,20.48973323007298
5.4,3.865933576087298,20.87604131087141
5.5,3.8658797445295545,21.26233859491255
5.6000000000000005,3.8658259069914274,21.648625079151994
5.7,3.8657720632273254,22.034900760395754
5.800000000000001,3.865718212981571,22.421165635293114
5.9,3.865664355987987,22.807419700329124
6.0,3.8656104919694663,23.193662951816798
6.1000000000000005,3.8655566206375207,23.57989538588888
6.2,3.865502741691816,23.966116998489262
6.300000000000001,3.865448854819686,24.352327785364025
6.4,3.8653949596956196,24.738527742051968
6.5,3.865341055980744,25.124716863874834
6.6000000000000005,3.8652871433222664,25.51089514592696
6.7,3.865233221352908,25.897062583064482
6.800000000000001,3.8651792896903068,26.28321916989409
6.9,3.8651253479363987,26.669364900761153
7.0,3.865071395676773,27.055499769737413
7.1000000000000005,3.8650174324800015,27.44162377060801
7.2,3.8649634578969367,27.827736896857946
7.300000000000001,3.864909471459989,28.213839141657925
7.4,3.864855472682366,28.59993049784951
7.5,3.864801461057284,28.98601095792963
7.6000000000000005,3.864747436057149,29.372080514034334
7.7,3.8646933971327004,29.758139157921793
7.800000000000001,3.8646393437121223,30.144186880954557
7.9,3.8645852752001155,30.530223674080915
8.0,3.864531190976936,30.916249527815488
8.1,3.8644770903973886,31.302264432218845
8.200000000000001,3.8644229727897828,31.688268376876223
8.3,3.8643688374548457,32.074261350875226
8.4,3.8643146836645874,32.46024334278253
8.5,3.8642605106611225,32.84621434061954
8.6,3.8642063176554435,33.232174331836816
8.700000000000001,3.864152103826142,33.61812330328744
8.8,3.864097868318078,34.00406124119909
8.9,3.864043610240993,34.38998813114484
9.0,3.8639893286680724,34.77590395801265
9.1,3.8639350226344407,35.16180870597341
9.200000000000001,3.8638806911355994,35.547702358447516
9.3,3.8638263331257994,35.93358489806994
9.4,3.8637719475163492,36.319456306653684
9.5,3.863717533173849,36.70531656515156
9.600000000000001,3.863663088918356,37.09116565361622
9.700000000000001,3.8636086135214733,37.4770035511583
9.8,3.8635541057043605,37.862830235902734
9.9,3.8634995641356604,38.24864568494304
10.0,3.863444987429344,38.63444987429344
10.100000000000001,3.863390374142467,39.02024277883892
10.200000000000001,3.8633357227728293,39.406024372282864
10.3,3.8632810317565447,39.791794627092415
10.4,3.863226299465505,40.17755351444125
10.5,3.863171524204746,40.563301004149835
10.600000000000001,3.8631167042097005,40.94903706462283
10.700000000000001,3.86306183764334,41.33476166278374
10.8,3.8630069225932004,41.72047476400657
10.9,3.862951957068284,42.1061763320443
11.0,3.8628969389958336,42.49186632895417
11.100000000000001,3.8628418662179773,42.87754471501955
11.200000000000001,3.862786736488232,43.2632114486682
11.3,3.862731547467865,43.64886648638688
11.4,3.862676296722108,44.034509782632036
11.5,3.8626209817162116,44.420141289736435
11.600000000000001,3.8625655998113406,44.80576095781156
11.700000000000001,3.8625101482603004,45.19136873464552
11.8,3.8624546242030884,45.57696456559645
11.9,3.862399024662261,45.96254839348091
12.0,3.862343346538111,46.348120158457334
12.100000000000001,3.862287586603651,46.73367979790418
12.200000000000001,3.8622317414993814,47.11922724629246
12.3,3.862175807727856,47.504762435052626
12.4,3.8621197816480133,47.890285292435365
