voltage,current,power
0.0,4.5200000000000005,0.0
0.1,4.518585410598436,0.45185854105984363
0.2,4.5185320735352015,0.9037064147070404
0.30000000000000004,4.518478324041153,1.3555434972123461
0.4,4.518424572151582,1.8073698288606328
0.5,4.518370817642929,2.2591854088214647
0.6000000000000001,4.51831706041124,2.7109902362467446
0.7000000000000001,4.51826330034839,3.162784310243873
0.8,4.518209537341963,3.6145676298735703
0.9,4.518155771275078,4.06634019414757
1.0,4.5181020020262155,4.5181020020262155
1.1,4.518048229469027,4.96985305241593
1.2000000000000002,4.517994453472151,5.421593344166582
1.3,4.51794067389901,5.873322876068713
1.4000000000000001,4.517886890607598,6.325041646850638
1.5,4.517833103450276,6.776749655175415
1.6,4.517779312273544,7.228446899637671
1.7000000000000002,4.517725516917799,7.680133378760258
1.8,4.517671717217108,8.131809090990794
1.9000000000000001,4.517617912998948,8.583474034698002
2.0,4.517564104083943,9.035128208167887
2.1,4.517510290285598,9.486771609599757
2.2,4.51745647141001,9.938404237102022
2.3000000000000003,4.517402647255578,10.39002608868783
2.4000000000000004,4.517348817612697,10.841637162270475
2.5,4.517294982263437,11.293237455658593
2.6,4.517241140981218,11.744826966551168
2.7,4.51718729353046,12.196405692532243
2.8000000000000003,4.51713343966623,12.647973631065446
2.9000000000000004,4.5170795791338705,13.099530779488227
3.0,4.517025711668612,13.551077135005837
3.1,4.51697183699517,14.002612694685027
3.2,4.516917954827333,14.454137455447466
3.3000000000000003,4.516864064867523,14.905651414062827
3.4000000000000004,4.516810166806343,15.357154567141569
3.5,4.516756260322119,15.808646911127418
3.6,4.516702345080397,16.260128442289428
3.7,4.516648420733445,16.71159915671375
3.8000000000000003,4.516594486919725,17.163059050294958
3.9000000000000004,4.5165405432633445,17.614508118727045
4.0,4.516486589373483,18.06594635749393
4.1000000000000005,4.516432624843801,18.517373761859584
4.2,4.51637864925183,18.968790326857686
4.3,4.516324662158321,19.42019604728078
4.4,4.516270663106588,19.87159091766899
4.5,4.516216651621811,20.32297493229815
4.6000000000000005,4.5161626272103135,20.774348085167443
4.7,4.51610858935882,21.225710369986455
4.800000000000001,4.516054537533675,21.677061780161644
4.9,4.516000471180032,22.128402308782157
5.0,4.515946389721012,22.579731948605062
5.1000000000000005,4.515892292556837,23.031050692039873
5.2,4.5158381790639055,23.48235853113231
5.300000000000001,4.515784048593861,23.93365545754747
5.4,4.515729900472601,24.384941462552046
5.5,4.515675733999258,24.836216536995916
5.6000000000000005,4.515621548445134,25.28748067129275
5.7,4.5155673430525995,25.73873385539982
5.800000000000001,4.515513117033941,26.18997607879686
5.9,4.51545886957017,26.641207330464006
6.0,4.515404599809776,27.092427598858656
6.1000000000000005,4.515350306867441,27.543636871891394
6.2,4.515295989822696,27.994835136900715
6.300000000000001,4.515241647718519,28.446022380626676
6.4,4.515187279559895,28.897198589183333
6.5,4.515132884312297,29.34836374802993
6.6000000000000005,4.51507846090012,29.799517841940794
6.7,4.515024008205057,30.25066085497388
6.800000000000001,4.5149695250643935,30.70179277043788
6.9,4.51491501026925,31.152913570857823
7.0,4.514860462562748,31.604023237939234
7.1000000000000005,4.514805880638104,32.05512175253054
7.2,4.514751263136649,32.50620909458387
7.300000000000001,4.514696608645766,32.95728524311409
7.4,4.51464191569675,33.40835017615595
7.5,4.5145871827625825,33.85940387071937
7.6000000000000005,4.514532408255613,34.31044630274266
7.7,4.514477590525154,34.76147744704369
7.800000000000001,4.514422727854976,35.21249727726882
7.9,4.514367818460709,35.6635057658396
8.0,4.514312860487134,36.114502883897075
8.1,4.51425785200537,36.565488601243494
8.200000000000001,4.514202791009952,37.01646288628161
8.3,4.5141476754157885,37.46742570595105
8.4,4.514092503055,37.918377025662004
8.5,4.514037271673633,38.36931680922588
8.6,4.513981978928244,38.82024501878289
8.700000000000001,4.51392662238234,39.27116161472636
8.8,4.513871199502697,39.722066555623734
8.9,4.513815707655507,40.17295979813401
9.0,4.513760144102388,40.6238412969215
9.1,4.513704505996242,41.0747110045658
9.200000000000001,4.51364879037692,41.52556887146767
9.3,4.513592994166757,41.976414845750845
9.4,4.513537114165884,42.427248873159314
9.5,4.513481147047395,42.878070896950256
9.600000000000001,4.51342508935229,43.32888085778199
9.700000000000001,4.51336893748424,43.779678693597134
9.8,4.513312687704132,44.23046433950049
9.9,4.5132563361244,44.681237727631554
10.0,4.513199878703133,45.13199878703133
10.100000000000001,4.513143311237945,45.58274744350325
10.200000000000001,4.513086629359613,46.03348361946806
10.3,4.513029828525442,46.48420723381206
10.4,4.512972904012388,46.934918201728834
10.5,4.512915850909895,47.385616434553896
10.600000000000001,4.512858664112452,47.836301839592
10.700000000000001,4.512801338311854,48.28697431993684
10.8,4.512743867989157,48.737633774282905
10.9,4.512686247406316,49.188280096728846
11.0,4.5126284705974795,49.638913176572274
11.100000000000001,4.512570531359956,50.08953289809552
11.200000000000001,4.512512423244807,50.54013914034184
11.3,4.512454139547077,50.99073177688197
11.4,4.512395673295629,51.44131067557017
11.5,4.512337017242583,51.8918756982897
11.600000000000001,4.512278163852327,52.34242670068699
11.700000000000001,4.512219105290102,52.792963531894195
11.8,4.512159833410126,53.243486034239496
11.9,4.512100339743252,53.6939940429447
12.0,4.512040615484133,54.1444873858096
12.100000000000001,4.511980651477881,54.59496588288236
12.200000000000001,4.511920438206191,55.04542934611554
12.3,4.511859965772927,55.495877579007
12.4,4.511799223889119,55.94631037622507
12.5,4.511738201857378,56.39672752321723
12.600000000000001,4.5116768885556935,56.847128795801744
12.700000000000001,4.511615272420577,57.29751395974133
